frame_num,drone_latitude,drone_longitude,displacement_origin,displacement_previous,drone_latitude_pixels,drone_longitude_pixels,displacement_origin_pixels,displacement_previous_pixels,is_reference
435,38.014059,23.753546,,,,,,,False
436,38.014065,23.753549,,,,,,,False
437,38.014065,23.753549,,,,,,,False
438,38.014065,23.753549,,,,,,,False
439,38.014072,23.753553,,,,,,,False
440,38.014072,23.753553,,,,,,,False
441,38.014079,23.753556,,,,,,,False
442,38.014079,23.753556,,,,,,,False
443,38.014079,23.753556,,,,,,,False
444,38.014085,23.753559,,,,,,,False
445,38.014085,23.753559,,,,,,,False
446,38.014085,23.753559,,,,,,,False
447,38.014092,23.753562,,,,,,,False
448,38.014092,23.753562,,,,,,,False
449,38.014099,23.753566,,,,,,,False
450,38.014099,23.753566,,,,,,,False
451,38.014099,23.753566,,,,,,,False
452,38.014105,23.753569,,,,,,,False
453,38.014105,23.753569,,,,,,,False
454,38.014112,23.753572,,,,,,,False
455,38.014112,23.753572,,,,,,,False
456,38.014119,23.753576,,,,,,,False
457,38.014119,23.753576,,,,,,,False
458,38.014119,23.753576,,,,,,,False
459,38.014126,23.753579,,,,,,,False
460,38.014126,23.753579,,,,,,,False
461,38.014126,23.753579,,,,,,,False
462,38.014132,23.753582,,,,,,,False
463,38.014132,23.753582,,,,,,,False
464,38.014138,23.753585,,,,,,,False
465,38.014138,23.753585,,,,,,,False
466,38.014138,23.753585,,,,,,,False
467,38.014145,23.753588,,,,,,,False
468,38.014145,23.753588,,,,,,,False
469,38.014152,23.753591,,,,,,,False
470,38.014152,23.753591,,,,,,,False
471,38.014152,23.753591,,,,,,,False
472,38.014158,23.753595,,,,,,,False
473,38.014158,23.753595,,,,,,,False
474,38.014165,23.753598,,,,,,,False
475,38.014165,23.753598,,,,,,,False
476,38.014165,23.753598,,,,,,,False
477,38.014172,23.753601,,,,,,,False
478,38.014172,23.753601,,,,,,,False
479,38.014178,23.753605,,,,,,,False
480,38.014178,23.753605,,,,,,,False
481,38.014178,23.753605,,,,,,,False
482,38.014185,23.753608,,,,,,,False
483,38.014185,23.753608,,,,,,,False
484,38.014192,23.753611,,,,,,,False
485,38.014192,23.753611,,,,,,,False
486,38.014192,23.753611,,,,,,,False
487,38.014198,23.753615,,,,,,,False
488,38.014198,23.753615,,,,,,,False
489,38.014205,23.753618,,,,,,,False
490,38.014205,23.753618,,,,,,,False
491,38.014205,23.753618,,,,,,,False
492,38.014212,23.753621,,,,,,,False
493,38.014212,23.753621,,,,,,,False
494,38.014219,23.753625,,,,,,,False
495,38.014219,23.753625,,,,,,,False
496,38.014219,23.753625,,,,,,,False
497,38.014225,23.753628,,,,,,,False
498,38.014225,23.753628,,,,,,,False
499,38.014232,23.753631,,,,,,,False
500,38.014232,23.753631,,,,,,,False
501,38.014239,23.753634,,,,,,,False
502,38.014239,23.753634,,,,,,,False
503,38.014239,23.753634,,,,,,,False
504,38.014246,23.753638,,,,,,,False
505,38.014246,23.753638,,,,,,,False
506,38.014246,23.753638,,,,,,,False
507,38.014253,23.753641,,,,,,,False
508,38.014253,23.753641,,,,,,,False
509,38.014259,23.753644,,,,,,,False
510,38.014259,23.753644,,,,,,,False
511,38.014259,23.753644,,,,,,,False
512,38.014266,23.753647,,,,,,,False
513,38.014266,23.753647,,,,,,,False
514,38.014273,23.753651,,,,,,,False
515,38.014273,23.753651,,,,,,,False
516,38.014273,23.753651,,,,,,,False
517,38.01428,23.753654,,,,,,,False
518,38.01428,23.753654,,,,,,,False
519,38.014286,23.753657,,,,,,,False
520,38.014286,23.753657,,,,,,,False
521,38.014286,23.753657,,,,,,,False
522,38.014294,23.753661,,,,,,,False
523,38.014294,23.753661,,,,,,,False
524,38.014301,23.753664,,,,,,,False
525,38.014301,23.753664,,,,,,,False
526,38.014301,23.753664,,,,,,,False
527,38.014307,23.753667,,,,,,,False
528,38.014307,23.753667,,,,,,,False
529,38.014314,23.75367,,,,,,,False
530,38.014314,23.75367,,,,,,,False
531,38.014314,23.75367,,,,,,,False
532,38.014321,23.753674,,,,,,,False
533,38.014321,23.753674,,,,,,,False
534,38.014327,23.753677,,,,,,,False
535,38.014327,23.753677,,,,,,,False
536,38.014334,23.75368,,,,,,,False
537,38.014334,23.75368,,,,,,,False
538,38.014334,23.75368,,,,,,,False
539,38.014341,23.753684,,,,,,,False
540,38.014341,23.753684,,,,,,,False
541,38.014348,23.753687,,,,,,,False
542,38.014348,23.753687,,,,,,,False
543,38.014348,23.753687,,,,,,,False
544,38.014355,23.75369,,,,,,,False
545,38.014355,23.75369,,,,,,,False
546,38.014361,23.753694,,,,,,,False
547,38.014361,23.753694,,,,,,,False
548,38.014361,23.753694,,,,,,,False
549,38.014368,23.753697,,,,,,,False
550,38.014368,23.753697,,,,,,,True
551,38.014368,23.753697,,,,,,,False
552,38.014375,23.7537,,,,,,,False
553,38.014375,23.7537,,,,,,,False
554,38.014382,23.753704,,,,,,,False
555,38.014382,23.753704,,,,,,,False
556,38.014388,23.753707,,,,,,,False
557,38.014388,23.753707,,,,,,,False
558,38.014388,23.753707,,,,,,,False
559,38.014395,23.75371,,,,,,,False
560,38.014395,23.75371,,,,,,,False
561,38.014395,23.75371,,,,,,,False
562,38.014402,23.753714,,,,,,,False
563,38.014402,23.753714,,,,,,,False
564,38.014409,23.753717,,,,,,,False
565,38.014409,23.753717,,,,,,,False
566,38.014409,23.753717,,,,,,,False
567,38.014415,23.75372,,,,,,,False
568,38.014415,23.75372,,,,,,,False
569,38.014422,23.753724,,,,,,,False
570,38.014422,23.753724,,,,,,,False
